,Word,Frequency,CD,Lemma Frequency,Token ID,Sentence ID,Lemma,Meaning,Lemma Count,Valid,POS
1471,had,4.964273776366518,3.9011857801371503,5.9270797094445795,1501,133,hebben,to have,64,True,V
1472,vermoord,4.165481742822164,3.641275757231913,4.423475251945937,1505,133,vermoorden,to murder,1,True,V
1473,was,5.36530262140015,3.905957699092427,6.276873384593224,1510,134,zijn,to be,97,True,V
1474,werd,4.355164066515204,3.8138477542288545,5.118512729036299,1511,134,worden,to become,31,True,V
1475,opgenomen,3.064083435963596,2.976808337338066,3.510813010512496,1515,134,opnemen,to pick up,1,True,V
1476,vreest,2.187520720836463,2.130333768495006,3.3104808914626753,1526,135,vrezen,to fear,1,True,V
1477,is,5.976610385885594,3.906712056942964,6.276831601248094,1527,135,zijn,to be,97,True,V
1478,bouwde,2.406540180433955,2.3283796034387376,3.6001012556913907,1537,136,bouwen,to build,1,True,V
1479,is,5.976610385885594,3.906712056942964,6.276831601248094,1538,136,zijn,to be,97,True,V
1480,gestorven,3.4102709642521845,3.2367890994092927,4.249809609401804,1539,136,sterven,to die,1,True,V
1481,gezet,3.437433443797971,3.3240765797394864,4.4009694792256555,1547,137,zetten,"to set, put",2,True,V
1482,was,5.36530262140015,3.905957699092427,6.276873384593224,1548,137,zijn,to be,97,True,V
1483,ontloopt,1.8388490907372552,1.8129133566428555,2.6201360549737576,1557,138,ontlopen,"to outrun, evade",1,True,V
1484,heeft,5.203919074994566,3.9048777669634047,5.927074058772405,1558,138,hebben,to have,64,True,V
1485,verbergen,3.1809855807867304,3.0696680969115957,3.6073477767684134,1561,138,verbergen,to hide,1,True,V
1486,valt,3.8254261177678233,3.6027109449575576,4.316494539222311,1569,139,vallen,to fall,6,True,V
1487,zie,4.572441739911853,3.8797837800904156,5.181580645912607,1570,139,zien,to see,6,True,V
1488,acht,3.6863681034730362,3.4369573306694496,3.7352794480604565,1580,140,acthen,to consider,1,True,V
1489,wordt,4.65152029823422,3.8868853589860084,5.118482976159217,1581,140,worden,to become,31,True,V
1490,gebeld,3.781468142841798,3.4865721505183562,4.546443948968807,1583,140,bellen,to call,2,True,V
1491,zijn,5.5421354833834,3.9064427938170323,6.291130766960268,1589,141,zijn,to be,97,True,V
1492,maken,4.621809598806646,3.8874485002499535,5.053205254329664,1590,141,maken,to make,12,True,V
1493,kan,5.2456310956152485,3.905849826642319,5.546752357340005,1600,142,kunnen ,to be able,5,True,V
1494,hebben,5.176531121304757,3.9053640687668922,5.927078682055107,1601,142,hebben,to have,64,True,V
1495,helpt,3.6122539060964374,3.4649364291217326,4.656040675755127,1604,142,helpen,to help,3,True,V
1496,geschilderd,2.428134794028789,2.3384564936046046,3.085290578230065,1610,143,schilderen,to paint,1,True,V
1497,heeft,5.203919074994566,3.9048777669634047,5.927074058772405,1611,143,hebben,to have,64,True,V
1498,kon,4.433753837516757,3.852601969338235,5.546674659069486,1612,143,kunnen,to be able,3,True,V
1499,verdienen,3.4479328655921804,3.2725377773752373,3.958229314188382,1617,143,verdienen,to earn,2,True,V
1500,hebben,5.176531121304757,3.9053640687668922,5.927078682055107,1623,144,hebben,to have,64,True,V
1501,moeten,4.890253305154534,3.9014583213961123,5.4373255705598,1624,144,moeten,to have to ,9,True,V
